Sample,Dog_ID,Unique_Reads,Duplicate_Reads,Total_reads
1AdC-16S_S2_L001_R1_001,CH001,4857.0,18443.0,23300.0
1AdC-16S_S2_L001_R2_001,CH001,7809.0,15491.0,23300.0
1AdS-16S_S1_L001_R1_001,CH001,2534.0,8339.0,10873.0
1AdS-16S_S1_L001_R2_001,CH001,4207.0,6666.0,10873.0
1D14C-16S_S14_L001_R1_001,CH001,9010.0,58214.0,67224.0
1D14C-16S_S14_L001_R2_001,CH001,14734.0,52490.0,67224.0
1D14S-16S_S13_L001_R1_001,CH001,6396.0,32648.0,39044.0
1D14S-16S_S13_L001_R2_001,CH001,9750.0,29294.0,39044.0
1D1C-16S_S8_L001_R1_001,CH001,6392.0,37868.0,44260.0
1D1C-16S_S8_L001_R2_001,CH001,10974.0,33286.0,44260.0
1D1S-16S_S7_L001_R1_001,CH001,4509.0,31935.0,36444.0
1D1S-16S_S7_L001_R2_001,CH001,8872.0,27572.0,36444.0
1D21C-16S_S16_L001_R1_001,CH001,3427.0,33075.0,36502.0
1D21C-16S_S16_L001_R2_001,CH001,6703.0,29799.0,36502.0
1D21S-16S_S15_L001_R1_001,CH001,4850.0,48773.0,53623.0
1D21S-16S_S15_L001_R2_001,CH001,9637.0,43986.0,53623.0
1D28C-16S_S18_L001_R1_001,CH001,7887.0,58076.0,65963.0
1D28C-16S_S18_L001_R2_001,CH001,12983.0,52980.0,65963.0
1D28S-16S_S17_L001_R1_001,CH001,7811.0,60989.0,68800.0
1D28S-16S_S17_L001_R2_001,CH001,14229.0,54571.0,68800.0
1D35C-16S_S20_L001_R1_001,CH001,7621.0,48693.0,56314.0
1D35C-16S_S20_L001_R2_001,CH001,12171.0,44143.0,56314.0
1D35S-16S_S19_L001_R1_001,CH001,7525.0,40819.0,48344.0
1D35S-16S_S19_L001_R2_001,CH001,11796.0,36548.0,48344.0
1D3C-16S_S10_L001_R1_001,CH001,6770.0,40165.0,46935.0
1D3C-16S_S10_L001_R2_001,CH001,11361.0,35574.0,46935.0
1D3S-16S_S9_L001_R1_001,CH001,7202.0,47080.0,54282.0
1D3S-16S_S9_L001_R2_001,CH001,11344.0,42938.0,54282.0
1D42C-16S_S22_L001_R1_001,CH001,9209.0,67729.0,76938.0
1D42C-16S_S22_L001_R2_001,CH001,16756.0,60182.0,76938.0
1D42S-16S_S21_L001_R1_001,CH001,8307.0,50497.0,58804.0
1D42S-16S_S21_L001_R2_001,CH001,13941.0,44863.0,58804.0
1D7C-16S_S12_L001_R1_001,CH001,3611.0,16866.0,20477.0
1D7C-16S_S12_L001_R2_001,CH001,6173.0,14304.0,20477.0
1D7S-16S_S11_L001_R1_001,CH001,3948.0,18241.0,22189.0
1D7S-16S_S11_L001_R2_001,CH001,6829.0,15360.0,22189.0
1PostC-16S_S6_L001_R1_001,CH001,7057.0,37002.0,44059.0
1PostC-16S_S6_L001_R2_001,CH001,11090.0,32969.0,44059.0
1PostS-16S_S5_L001_R1_001,CH001,6951.0,33697.0,40648.0
1PostS-16S_S5_L001_R2_001,CH001,10291.0,30357.0,40648.0
1PreC-16S_S4_L001_R1_001,CH001,6445.0,36835.0,43280.0
1PreC-16S_S4_L001_R2_001,CH001,10643.0,32637.0,43280.0
1PreS-16S_S3_L001_R1_001,CH001,4956.0,31014.0,35970.0
1PreS-16S_S3_L001_R2_001,CH001,9030.0,26940.0,35970.0
3AdC-16S_S27_L001_R1_001,CH003,6696.0,40498.0,47194.0
3AdC-16S_S27_L001_R2_001,CH003,18120.0,29074.0,47194.0
3AdS-16S_S26_L001_R1_001,CH003,2111.0,10435.0,12546.0
3AdS-16S_S26_L001_R2_001,CH003,3643.0,8903.0,12546.0
3D14C-16S_S39_L001_R1_001,CH003,6309.0,37305.0,43614.0
3D14C-16S_S39_L001_R2_001,CH003,11622.0,31992.0,43614.0
3D14S-16S_S38_L001_R1_001,CH003,2209.0,7898.0,10107.0
3D14S-16S_S38_L001_R2_001,CH003,4194.0,5913.0,10107.0
3D1C-16S_S33_L001_R1_001,CH003,4627.0,50048.0,54675.0
3D1C-16S_S33_L001_R2_001,CH003,10777.0,43898.0,54675.0
3D1S-16S_S32_L001_R1_001,CH003,3178.0,13987.0,17165.0
3D1S-16S_S32_L001_R2_001,CH003,6324.0,10841.0,17165.0
3D21C-16S_S41_L001_R1_001,CH003,2787.0,17688.0,20475.0
3D21C-16S_S41_L001_R2_001,CH003,5670.0,14805.0,20475.0
3D21S-16S_S40_L001_R1_001,CH003,1002.0,3369.0,4371.0
3D21S-16S_S40_L001_R2_001,CH003,2167.0,2204.0,4371.0
3D28C-16S_S43_L001_R1_001,CH003,3081.0,23685.0,26766.0
3D28C-16S_S43_L001_R2_001,CH003,6158.0,20608.0,26766.0
3D28S-16S_S42_L001_R1_001,CH003,7091.0,55879.0,62970.0
3D28S-16S_S42_L001_R2_001,CH003,13640.0,49330.0,62970.0
3D35C-16S_S45_L001_R1_001,CH003,5067.0,36530.0,41597.0
3D35C-16S_S45_L001_R2_001,CH003,11066.0,30531.0,41597.0
3D35S-16S_S44_L001_R1_001,CH003,3489.0,23100.0,26589.0
3D35S-16S_S44_L001_R2_001,CH003,6526.0,20063.0,26589.0
3D3C-16S_S35_L001_R1_001,CH003,6969.0,54517.0,61486.0
3D3C-16S_S35_L001_R2_001,CH003,16087.0,45399.0,61486.0
3D3S-16S_S34_L001_R1_001,CH003,7941.0,59757.0,67698.0
3D3S-16S_S34_L001_R2_001,CH003,15214.0,52484.0,67698.0
3D42C-16S_S47_L001_R1_001,CH003,4945.0,38614.0,43559.0
3D42C-16S_S47_L001_R2_001,CH003,10048.0,33511.0,43559.0
3D42S-16S_S46_L001_R1_001,CH003,4572.0,24992.0,29564.0
3D42S-16S_S46_L001_R2_001,CH003,8711.0,20853.0,29564.0
3D7C-16S_S37_L001_R1_001,CH003,558.0,1733.0,2291.0
3D7C-16S_S37_L001_R2_001,CH003,1099.0,1192.0,2291.0
3D7S-16S_S36_L001_R1_001,CH003,662.0,956.0,1618.0
3D7S-16S_S36_L001_R2_001,CH003,1055.0,563.0,1618.0
3PostC-16S_S31_L001_R1_001,CH003,7287.0,45970.0,53257.0
3PostC-16S_S31_L001_R2_001,CH003,14784.0,38473.0,53257.0
3PostS-16S_S30_L001_R1_001,CH003,453.0,215.0,668.0
3PostS-16S_S30_L001_R2_001,CH003,617.0,51.0,668.0
3PreC-16S_S29_L001_R1_001,CH003,8445.0,45076.0,53521.0
3PreC-16S_S29_L001_R2_001,CH003,17385.0,36136.0,53521.0
3PreS-16S_S28_L001_R1_001,CH003,5379.0,33902.0,39281.0
3PreS-16S_S28_L001_R2_001,CH003,11373.0,27908.0,39281.0
5AdC-16S_S24_L001_R1_001,CH005,10210.0,64459.0,74669.0
5AdC-16S_S24_L001_R2_001,CH005,17389.0,57280.0,74669.0
5AdS-16S_S23_L001_R1_001,CH005,2979.0,8699.0,11678.0
5AdS-16S_S23_L001_R2_001,CH005,4670.0,7008.0,11678.0
5D14C-16S_S36_L001_R1_001,CH005,7627.0,52372.0,59999.0
5D14C-16S_S36_L001_R2_001,CH005,13712.0,46287.0,59999.0
5D14S-16S_S35_L001_R1_001,CH005,5830.0,37730.0,43560.0
5D14S-16S_S35_L001_R2_001,CH005,11345.0,32215.0,43560.0
5D1C-16S_S30_L001_R1_001,CH005,9316.0,58333.0,67649.0
5D1C-16S_S30_L001_R2_001,CH005,15783.0,51866.0,67649.0
5D1S-16S_S29_L001_R1_001,CH005,8074.0,50636.0,58710.0
5D1S-16S_S29_L001_R2_001,CH005,15628.0,43082.0,58710.0
5D21C-16S_S38_L001_R1_001,CH005,7050.0,37765.0,44815.0
5D21C-16S_S38_L001_R2_001,CH005,12395.0,32420.0,44815.0
5D21S-16S_S37_L001_R1_001,CH005,10150.0,68677.0,78827.0
5D21S-16S_S37_L001_R2_001,CH005,17901.0,60926.0,78827.0
5D28C-16S_S40_L001_R1_001,CH005,7178.0,38840.0,46018.0
5D28C-16S_S40_L001_R2_001,CH005,11844.0,34174.0,46018.0
5D28S-16S_S39_L001_R1_001,CH005,9070.0,60271.0,69341.0
5D28S-16S_S39_L001_R2_001,CH005,16875.0,52466.0,69341.0
5D35C-16S_S42_L001_R1_001,CH005,8732.0,58224.0,66956.0
5D35C-16S_S42_L001_R2_001,CH005,17101.0,49855.0,66956.0
5D35S-16S_S41_L001_R1_001,CH005,9123.0,66338.0,75461.0
5D35S-16S_S41_L001_R2_001,CH005,17257.0,58204.0,75461.0
5D3C-16S_S32_L001_R1_001,CH005,8018.0,47422.0,55440.0
5D3C-16S_S32_L001_R2_001,CH005,13963.0,41477.0,55440.0
5D3S-16S_S31_L001_R1_001,CH005,7052.0,51874.0,58926.0
5D3S-16S_S31_L001_R2_001,CH005,12961.0,45965.0,58926.0
5D42C-16S_S44_L001_R1_001,CH005,9068.0,67268.0,76336.0
5D42C-16S_S44_L001_R2_001,CH005,16250.0,60086.0,76336.0
5D42S-16S_S43_L001_R1_001,CH005,8277.0,47435.0,55712.0
5D42S-16S_S43_L001_R2_001,CH005,14681.0,41031.0,55712.0
5D7C-16S_S34_L001_R1_001,CH005,8218.0,45429.0,53647.0
5D7C-16S_S34_L001_R2_001,CH005,14404.0,39243.0,53647.0
5D7S-16S_S33_L001_R1_001,CH005,8036.0,48698.0,56734.0
5D7S-16S_S33_L001_R2_001,CH005,14568.0,42166.0,56734.0
5PostC-16S_S28_L001_R1_001,CH005,7341.0,48970.0,56311.0
5PostC-16S_S28_L001_R2_001,CH005,12892.0,43419.0,56311.0
5PostS-16S_S27_L001_R1_001,CH005,8061.0,58654.0,66715.0
5PostS-16S_S27_L001_R2_001,CH005,14307.0,52408.0,66715.0
5PreC-16S_S26_L001_R1_001,CH005,6882.0,50422.0,57304.0
5PreC-16S_S26_L001_R2_001,CH005,13527.0,43777.0,57304.0
5PreS-16S_S25_L001_R1_001,CH005,9809.0,77371.0,87180.0
5PreS-16S_S25_L001_R2_001,CH005,17463.0,69717.0,87180.0
6AdC-16S_S46_L001_R1_001,CH006,9721.0,72236.0,81957.0
6AdC-16S_S46_L001_R2_001,CH006,18652.0,63305.0,81957.0
6AdS-16S_S45_L001_R1_001,CH006,9078.0,63600.0,72678.0
6AdS-16S_S45_L001_R2_001,CH006,16651.0,56027.0,72678.0
6D14C-16S_S58_L001_R1_001,CH006,12575.0,97988.0,110563.0
6D14C-16S_S58_L001_R2_001,CH006,22532.0,88031.0,110563.0
6D14S-16S_S57_L001_R1_001,CH006,10048.0,69360.0,79408.0
6D14S-16S_S57_L001_R2_001,CH006,17783.0,61625.0,79408.0
6D1C-16S_S52_L001_R1_001,CH006,3384.0,9773.0,13157.0
6D1C-16S_S52_L001_R2_001,CH006,6699.0,6458.0,13157.0
6D1S-16S_S51_L001_R1_001,CH006,10817.0,67731.0,78548.0
6D1S-16S_S51_L001_R2_001,CH006,18678.0,59870.0,78548.0
6D21C-16S_S60_L001_R1_001,CH006,8838.0,73886.0,82724.0
6D21C-16S_S60_L001_R2_001,CH006,16664.0,66060.0,82724.0
6D21S-16S_S59_L001_R1_001,CH006,10200.0,110427.0,120627.0
6D21S-16S_S59_L001_R2_001,CH006,22692.0,97935.0,120627.0
6D28C-16S_S62_L001_R1_001,CH006,10545.0,75255.0,85800.0
6D28C-16S_S62_L001_R2_001,CH006,18463.0,67337.0,85800.0
6D28S-16S_S61_L001_R1_001,CH006,7853.0,49792.0,57645.0
6D28S-16S_S61_L001_R2_001,CH006,12954.0,44691.0,57645.0
6D35C-16S_S64_L001_R1_001,CH006,8458.0,71285.0,79743.0
6D35C-16S_S64_L001_R2_001,CH006,16229.0,63514.0,79743.0
6D35S-16S_S63_L001_R1_001,CH006,4968.0,55794.0,60762.0
6D35S-16S_S63_L001_R2_001,CH006,11378.0,49384.0,60762.0
6D3C-16S_S54_L001_R1_001,CH006,5805.0,26978.0,32783.0
6D3C-16S_S54_L001_R2_001,CH006,9804.0,22979.0,32783.0
6D3S-16S_S53_L001_R1_001,CH006,8855.0,57250.0,66105.0
6D3S-16S_S53_L001_R2_001,CH006,17721.0,48384.0,66105.0
6D42C-16S_S66_L001_R1_001,CH006,9183.0,69354.0,78537.0
6D42C-16S_S66_L001_R2_001,CH006,15641.0,62896.0,78537.0
6D42S-16S_S65_L001_R1_001,CH006,10321.0,89899.0,100220.0
6D42S-16S_S65_L001_R2_001,CH006,18740.0,81480.0,100220.0
6D7C-16S_S56_L001_R1_001,CH006,8922.0,54449.0,63371.0
