Sample,Dog_ID,Unique_Reads,Duplicate_Reads,Total_reads
1AdC-16S_F,CH001,6780.0,16520.0,23300.0
1AdC-16S_R,CH001,7656.0,15644.0,23300.0
1AdS-16S_F,CH001,3394.0,7479.0,10873.0
1AdS-16S_R,CH001,4079.0,6794.0,10873.0
1D14C-16S_F,CH001,11724.0,55500.0,67224.0
1D14C-16S_R,CH001,13740.0,53484.0,67224.0
1D14S-16S_F,CH001,8226.0,30817.0,39043.0
1D14S-16S_R,CH001,8800.0,30243.0,39043.0
1D1C-16S_F,CH001,8535.0,35725.0,44260.0
1D1C-16S_R,CH001,9682.0,34578.0,44260.0
1D1S-16S_F,CH001,6184.0,30260.0,36444.0
1D1S-16S_R,CH001,8211.0,28233.0,36444.0
1D21C-16S_F,CH001,4464.0,32038.0,36502.0
1D21C-16S_R,CH001,6189.0,30313.0,36502.0
1D21S-16S_F,CH001,6164.0,47459.0,53623.0
1D21S-16S_R,CH001,8653.0,44970.0,53623.0
1D28C-16S_F,CH001,9780.0,56182.0,65962.0
1D28C-16S_R,CH001,11804.0,54158.0,65962.0
1D28S-16S_F,CH001,9711.0,59088.0,68799.0
1D28S-16S_R,CH001,12647.0,56152.0,68799.0
1D35C-16S_F,CH001,10019.0,46294.0,56313.0
1D35C-16S_R,CH001,11296.0,45017.0,56313.0
1D35S-16S_F,CH001,9733.0,38610.0,48343.0
1D35S-16S_R,CH001,11313.0,37030.0,48343.0
1D3C-16S_F,CH001,8477.0,38458.0,46935.0
1D3C-16S_R,CH001,10235.0,36700.0,46935.0
1D3S-16S_F,CH001,9403.0,44879.0,54282.0
1D3S-16S_R,CH001,10221.0,44061.0,54282.0
1D42C-16S_F,CH001,12327.0,64608.0,76935.0
1D42C-16S_R,CH001,16429.0,60506.0,76935.0
1D42S-16S_F,CH001,11159.0,47644.0,58803.0
1D42S-16S_R,CH001,13945.0,44858.0,58803.0
1D7C-16S_F,CH001,4754.0,15722.0,20476.0
1D7C-16S_R,CH001,5757.0,14719.0,20476.0
1D7S-16S_F,CH001,5141.0,17046.0,22187.0
1D7S-16S_R,CH001,6233.0,15954.0,22187.0
1PostC-16S_F,CH001,8457.0,35601.0,44058.0
1PostC-16S_R,CH001,9813.0,34245.0,44058.0
1PostS-16S_F,CH001,8415.0,32231.0,40646.0
1PostS-16S_R,CH001,9191.0,31455.0,40646.0
1PreC-16S_F,CH001,7924.0,35356.0,43280.0
1PreC-16S_R,CH001,9504.0,33776.0,43280.0
1PreS-16S_F,CH001,6200.0,29770.0,35970.0
1PreS-16S_R,CH001,8270.0,27700.0,35970.0
3AdC-16S_F,CH003,9396.0,37798.0,47194.0
3AdC-16S_R,CH003,17844.0,29350.0,47194.0
3AdS-16S_F,CH003,2607.0,9939.0,12546.0
3AdS-16S_R,CH003,3148.0,9398.0,12546.0
3D14C-16S_F,CH003,8124.0,35490.0,43614.0
3D14C-16S_R,CH003,10591.0,33023.0,43614.0
3D14S-16S_F,CH003,2773.0,7334.0,10107.0
3D14S-16S_R,CH003,3426.0,6681.0,10107.0
3D1C-16S_F,CH003,5837.0,48838.0,54675.0
3D1C-16S_R,CH003,9484.0,45191.0,54675.0
3D1S-16S_F,CH003,3900.0,13265.0,17165.0
3D1S-16S_R,CH003,5488.0,11677.0,17165.0
3D21C-16S_F,CH003,3340.0,17134.0,20474.0
3D21C-16S_R,CH003,4666.0,15808.0,20474.0
3D21S-16S_F,CH003,1192.0,3179.0,4371.0
3D21S-16S_R,CH003,1575.0,2796.0,4371.0
3D28C-16S_F,CH003,3543.0,23223.0,26766.0
3D28C-16S_R,CH003,5160.0,21606.0,26766.0
3D28S-16S_F,CH003,9468.0,53502.0,62970.0
3D28S-16S_R,CH003,12432.0,50538.0,62970.0
3D35C-16S_F,CH003,6296.0,35301.0,41597.0
3D35C-16S_R,CH003,9140.0,32457.0,41597.0
3D35S-16S_F,CH003,4138.0,22451.0,26589.0
3D35S-16S_R,CH003,5688.0,20901.0,26589.0
3D3C-16S_F,CH003,9008.0,52478.0,61486.0
3D3C-16S_R,CH003,15148.0,46338.0,61486.0
3D3S-16S_F,CH003,10822.0,56876.0,67698.0
3D3S-16S_R,CH003,14034.0,53664.0,67698.0
3D42C-16S_F,CH003,6498.0,37061.0,43559.0
3D42C-16S_R,CH003,9401.0,34158.0,43559.0
3D42S-16S_F,CH003,5889.0,23675.0,29564.0
3D42S-16S_R,CH003,7483.0,22081.0,29564.0
3D7C-16S_F,CH003,667.0,1624.0,2291.0
3D7C-16S_R,CH003,849.0,1442.0,2291.0
3D7S-16S_F,CH003,761.0,857.0,1618.0
3D7S-16S_R,CH003,872.0,746.0,1618.0
3PostC-16S_F,CH003,9738.0,43519.0,53257.0
3PostC-16S_R,CH003,13850.0,39407.0,53257.0
3PostS-16S_F,CH003,580.0,88.0,668.0
3PostS-16S_R,CH003,642.0,26.0,668.0
3PreC-16S_F,CH003,11873.0,41648.0,53521.0
3PreC-16S_R,CH003,18124.0,35397.0,53521.0
3PreS-16S_F,CH003,6751.0,32530.0,39281.0
3PreS-16S_R,CH003,9361.0,29920.0,39281.0
5AdC-16S_F,CH005,14927.0,59741.0,74668.0
5AdC-16S_R,CH005,17704.0,56964.0,74668.0
5AdS-16S_F,CH005,4198.0,7480.0,11678.0
5AdS-16S_R,CH005,4722.0,6956.0,11678.0
5D14C-16S_F,CH005,10202.0,49797.0,59999.0
5D14C-16S_R,CH005,12739.0,47260.0,59999.0
5D14S-16S_F,CH005,8185.0,35374.0,43559.0
5D14S-16S_R,CH005,10413.0,33146.0,43559.0
5D1C-16S_F,CH005,12981.0,54666.0,67647.0
5D1C-16S_R,CH005,15422.0,52225.0,67647.0
5D1S-16S_F,CH005,11270.0,47440.0,58710.0
5D1S-16S_R,CH005,15390.0,43320.0,58710.0
5D21C-16S_F,CH005,10235.0,34580.0,44815.0
5D21C-16S_R,CH005,11909.0,32906.0,44815.0
5D21S-16S_F,CH005,13770.0,65056.0,78826.0
5D21S-16S_R,CH005,16594.0,62232.0,78826.0
5D28C-16S_F,CH005,9551.0,36466.0,46017.0
5D28C-16S_R,CH005,11143.0,34874.0,46017.0
5D28S-16S_F,CH005,12619.0,56721.0,69340.0
5D28S-16S_R,CH005,17157.0,52183.0,69340.0
5D35C-16S_F,CH005,12229.0,54727.0,66956.0
5D35C-16S_R,CH005,16284.0,50672.0,66956.0
5D35S-16S_F,CH005,12787.0,62674.0,75461.0
5D35S-16S_R,CH005,16983.0,58478.0,75461.0
5D3C-16S_F,CH005,10786.0,44653.0,55439.0
5D3C-16S_R,CH005,13228.0,42211.0,55439.0
5D3S-16S_F,CH005,9723.0,49203.0,58926.0
5D3S-16S_R,CH005,12632.0,46294.0,58926.0
5D42C-16S_F,CH005,12173.0,64163.0,76336.0
5D42C-16S_R,CH005,15085.0,61251.0,76336.0
5D42S-16S_F,CH005,11717.0,43994.0,55711.0
5D42S-16S_R,CH005,14877.0,40834.0,55711.0
