Sample,Dog_ID,Unique_Reads,Duplicate_Reads,Total_reads
1AdC-16S_F_trunc,CH001,3892.0,13541.0,17433.0
1AdC-16S_R_trunc,CH001,4160.0,13273.0,17433.0
1AdS-16S_F_trunc,CH001,1822.0,6085.0,7907.0
1AdS-16S_R_trunc,CH001,2316.0,5591.0,7907.0
1D14C-16S_F_trunc,CH001,4812.0,44677.0,49489.0
1D14C-16S_R_trunc,CH001,5481.0,44008.0,49489.0
1D14S-16S_F_trunc,CH001,3311.0,24248.0,27559.0
1D14S-16S_R_trunc,CH001,3644.0,23915.0,27559.0
1D1C-16S_F_trunc,CH001,3730.0,28528.0,32258.0
1D1C-16S_R_trunc,CH001,4258.0,28000.0,32258.0
1D1S-16S_F_trunc,CH001,2442.0,25038.0,27480.0
1D1S-16S_R_trunc,CH001,3324.0,24156.0,27480.0
1D21C-16S_F_trunc,CH001,1989.0,27668.0,29657.0
1D21C-16S_R_trunc,CH001,2617.0,27040.0,29657.0
1D21S-16S_F_trunc,CH001,2656.0,40226.0,42882.0
1D21S-16S_R_trunc,CH001,3465.0,39417.0,42882.0
1D28C-16S_F_trunc,CH001,3792.0,45238.0,49030.0
1D28C-16S_R_trunc,CH001,4424.0,44606.0,49030.0
1D28S-16S_F_trunc,CH001,4679.0,49769.0,54448.0
1D28S-16S_R_trunc,CH001,5581.0,48867.0,54448.0
1D35C-16S_F_trunc,CH001,4212.0,37808.0,42020.0
1D35C-16S_R_trunc,CH001,4466.0,37554.0,42020.0
1D35S-16S_F_trunc,CH001,3943.0,30755.0,34698.0
1D35S-16S_R_trunc,CH001,4569.0,30129.0,34698.0
1D3C-16S_F_trunc,CH001,3471.0,30491.0,33962.0
1D3C-16S_R_trunc,CH001,4145.0,29817.0,33962.0
1D3S-16S_F_trunc,CH001,3952.0,37478.0,41430.0
1D3S-16S_R_trunc,CH001,4283.0,37147.0,41430.0
1D42C-16S_F_trunc,CH001,5068.0,51381.0,56449.0
1D42C-16S_R_trunc,CH001,5982.0,50467.0,56449.0
1D42S-16S_F_trunc,CH001,5267.0,38702.0,43969.0
1D42S-16S_R_trunc,CH001,6049.0,37920.0,43969.0
1D7C-16S_F_trunc,CH001,2340.0,11665.0,14005.0
1D7C-16S_R_trunc,CH001,2783.0,11222.0,14005.0
1D7S-16S_F_trunc,CH001,2498.0,12236.0,14734.0
1D7S-16S_R_trunc,CH001,2909.0,11825.0,14734.0
1PostC-16S_F_trunc,CH001,3025.0,26268.0,29293.0
1PostC-16S_R_trunc,CH001,3621.0,25672.0,29293.0
1PostS-16S_F_trunc,CH001,3295.0,23224.0,26519.0
1PostS-16S_R_trunc,CH001,3520.0,22999.0,26519.0
1PreC-16S_F_trunc,CH001,3198.0,27922.0,31120.0
1PreC-16S_R_trunc,CH001,3871.0,27249.0,31120.0
1PreS-16S_F_trunc,CH001,2864.0,24302.0,27166.0
1PreS-16S_R_trunc,CH001,3777.0,23389.0,27166.0
3AdC-16S_F_trunc,CH003,2121.0,18159.0,20280.0
3AdC-16S_R_trunc,CH003,2837.0,17443.0,20280.0
3AdS-16S_F_trunc,CH003,1067.0,8546.0,9613.0
3AdS-16S_R_trunc,CH003,1252.0,8361.0,9613.0
3D14C-16S_F_trunc,CH003,3388.0,29688.0,33076.0
3D14C-16S_R_trunc,CH003,4127.0,28949.0,33076.0
3D14S-16S_F_trunc,CH003,1091.0,6227.0,7318.0
3D14S-16S_R_trunc,CH003,1351.0,5967.0,7318.0
3D1C-16S_F_trunc,CH003,2405.0,40609.0,43014.0
3D1C-16S_R_trunc,CH003,3467.0,39547.0,43014.0
3D1S-16S_F_trunc,CH003,1839.0,10880.0,12719.0
3D1S-16S_R_trunc,CH003,2343.0,10376.0,12719.0
3D21C-16S_F_trunc,CH003,1467.0,14680.0,16147.0
3D21C-16S_R_trunc,CH003,1958.0,14189.0,16147.0
3D21S-16S_F_trunc,CH003,502.0,2734.0,3236.0
3D21S-16S_R_trunc,CH003,683.0,2553.0,3236.0
3D28C-16S_F_trunc,CH003,1449.0,19445.0,20894.0
3D28C-16S_R_trunc,CH003,1925.0,18969.0,20894.0
3D28S-16S_F_trunc,CH003,3773.0,45241.0,49014.0
3D28S-16S_R_trunc,CH003,4682.0,44332.0,49014.0
3D35C-16S_R_trunc,CH003,3862.0,28772.0,32634.0
3D35S-16S_F_trunc,CH003,1729.0,18988.0,20717.0
3D35S-16S_R_trunc,CH003,2162.0,18555.0,20717.0
3D3C-16S_F_trunc,CH003,4068.0,41624.0,45692.0
3D3C-16S_R_trunc,CH003,5717.0,39975.0,45692.0
3D3S-16S_F_trunc,CH003,5172.0,49352.0,54524.0
3D3S-16S_R_trunc,CH003,6190.0,48334.0,54524.0
3D42C-16S_F_trunc,CH003,2469.0,30758.0,33227.0
3D42C-16S_R_trunc,CH003,3278.0,29949.0,33227.0
3D42S-16S_F_trunc,CH003,2403.0,19847.0,22250.0
